,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Longitude,Latitude,zone_ID
447,,,,,,,23.4,,,,,,-80.7612,41.890026,20
448,,,,,,,23.2,,,,,,-77.6667,39.9109,15
449,,,,,,,,,,,64.5,,-75.4542,41.5533,4
450,,,,,,,,,19.0,,,,-78.865,38.4681,13
451,,,,,,,,,13.0,,,,-78.8983,38.4006,13
452,,,,,,,20.8,,,,,,-76.935478,38.985844,6
453,,,,,,,2.1,,,,,,-76.59941,39.283677,1
454,,,,,,,,,,,30.0,,-79.002047,39.790739,3
455,,18.8,,,,,,,,,,,-74.3156,40.4903,11
456,,,,,,,,,,,76.2,,-89.0492,41.7194,17
457,,,,,,,,,6.0,,,,-83.3606,41.5092,20
458,,,,,,,,,,,7.2,,-83.7383,41.3786,20
459,,4.7,,,,,,,,,,,-84.6556,38.8608,21
460,,2.4,,,,,,,,,,,-82.808819,38.396737,22
461,,2.4,,,,,,,,,,,-85.7258,37.7258,21
462,,,,,,,,,2.0,,,,-80.0771,37.2875,22
463,,,,,,,,,2.0,,,,-80.0447,37.2794,22
464,,,,,,,,,,,,11.2,-74.221219,40.637554,7
465,,,,,,,,,,,24.0,,-75.753056,41.235278,4
466,,,,,,,,,,,7.5,,-74.4475,39.382222,12
467,,,,,1.5,,,,,,,,-79.3006,37.5035,22
468,,,,,0.6,,,,,,,,-79.3006,37.5035,22
469,,3.2,,,,,,,,,,,-84.405901,38.734218,21
470,,,,,80.0,,,,,,,,-80.89061,38.21921,22
471,,,,,,,,,1.2,,,,-79.39775,36.63161,22
472,,,,,,,,,1.2,,,,-79.2986,36.66106,22
473,,,,,,,,,6.9,,,,-77.59,38.28,13
474,,,,,,,,,1.7,,,,-77.62089,38.760695,13
475,,,,,,,,,,,34.5,,-79.138,39.85,3
476,,3.3,,,,,,,,,,,-87.637542,41.38109,17
477,,,,,,,,,2.2,,,,-83.012,39.9294,22
478,,,,,,,,,1.8,,,,-83.049072,39.961419,22
479,,,,,,,,,1.1,,,,-83.015833,39.95,22
480,,,,,,,,,1.8,,,,-83.014425,39.952367,22
481,,5.0,,,,,,,,,,,-75.4342,38.5992,9
482,,5.0,,,,,,,,,,,-75.7233,39.0339,9
483,,,,,,,,,,,80.0,,-89.173056,41.643611,17
484,,,,,,,,,,,80.0,,-78.579444,40.383889,3
485,,,,,,,27.0,,,,,,-88.2711,41.8911,17
486,,3.2,,,,,,,,,,,-85.088192,40.379703,22
487,,,,,,,,,,,26.0,,-76.1292,40.855,4
488,,,,,,,,,,,264.0,,-79.2094,39.2175,15
489,,3.2,,,,,,,,,,,-76.4442,39.9589,4
490,,0.9,,,,,,,,,,,-75.04,39.9894,7
491,,3.2,,,,,,,,,,,-76.4931,40.3664,2
492,,,,,,,,,1.3,,,,-80.07,37.2894,22
493,,4.8,,,,,,,,,,,-76.444373,37.076352,13
494,,5.2,,,,,,,,,,,-76.392006,39.389728,1
495,,,,,,,,,,,75.0,,-78.5436,40.4381,3
496,,,,,,,27.6,,,,,,-77.0939,39.0,6
497,,,710.0,,,,,,,,,,-79.958974,39.707893,15
498,,5.4,,,,,,,,,,,-75.6344,38.3847,9
499,,14.4,,,,,,,,,,,-78.0589,37.3097,13
500,,10.5,,,,,,,,,,,-77.8108,36.7639,13
501,,14.4,,,,,,,,,,,-77.128611,37.438889,13
502,,14.4,,,,,,,,,,,-77.4969,37.3517,13
503,,10.8,,,,,,,,,,,-76.76,37.6711,13
504,,14.4,,,,,,,,,,,-77.7883,39.8014,15
505,,5.4,,,,,,,,,,,-77.2267,35.1681,13
506,,,,,,,,,5.4,,,,-76.3886,40.5553,4
507,,,,,,,,,1.8,,,,-77.6639,37.7036,13
508,,,,,,,,,,,29.4,,-78.8633,40.0853,3
509,,,,,,,,,,,37.8,,-78.9183,39.8794,3
510,,,,,,,8.0,,7.8,,,,-74.015107,40.959257,7
511,,,,,,,,,,,102.0,,-76.1547,40.8411,4
512,,,,,,,2.5,,,,,,-80.4211,37.2319,22
513,,,,,,,,,,,50.4,,-79.7271,39.7513,15
514,,,,,,,,,,,100.5,,-89.878428,42.451481,17
515,,,,,,,621.9,,,,,,-78.285278,37.695556,13
516,,,,,,,737.0,,,,,,-76.8919,38.5686,13
517,,,,,,,,,,,,34.0,-82.828642,38.596657,22
518,,3.2,,,,,,,,,,,-75.9547,40.1108,4
519,,,,,105.0,,,,,,,,-84.172982,38.791431,21
520,,2.5,,,,,,,,,,,-75.8428,39.8639,5
521,,,,,,,,,,1.6,,,-74.394414,40.573708,7
522,,,,,,,,,,3.9,,,-75.04,39.9894,7
523,,4.8,,,,,,,,,,,-75.0928,39.4494,12
524,,6.4,,,,,,,,,,,-77.5072,40.1356,3
525,,,,,,,,,,2.0,,,-75.10697,40.788957,11
526,,,,,,,,,,1.7,,,-74.3783,40.727386,11
527,,1.6,,,,,,,,,,,-76.6258,41.7792,3
528,,2.0,,,,,,,,,,,-77.413056,38.384167,13
529,,,,,,,,,,2.0,,,-74.4408,39.3639,12
530,,,,,,,,,,,210.0,,-88.6836,41.2269,17
531,,8.0,,,,,,,,,,,-75.8167,40.275,2
532,,,,,,,731.7,,,,,,-75.2214,39.8414,7
533,,,,,,,598.3,,,,,,-74.09155,40.652834,7
534,,,,,,,,,,3.6,,,-77.6731,35.9222,13
535,,,,,,,,,,,52.5,,-78.8153,40.0311,3
536,,,,,,,,,,3.0,,,-74.7772,40.1483,5
537,,4.8,,,,,,,,,,,-80.2611,40.2058,15
538,,6.4,,,,,,,,,,,-76.624506,37.519714,13
539,,11.3,,,,,,,,,,,-77.3081,38.2747,13
540,,,,,,,,,,,100.5,,-76.8553,41.7619,3
541,,,,,,,,,,,300.0,,-88.49,40.9969,17
542,,,,,,,,,,,106.0,,-88.6233,41.1508,17
543,,,,,,,,,,,200.0,,-88.53,41.1406,17
544,,,,,,,,,,,239.4,,-89.456111,41.599167,17
545,,,,,,,,,,,62.5,,-78.6908,40.3042,3
546,,,,,,,,,,,100.5,,-80.4925,38.0878,22
547,,5.6,,,,,,,,,,,-82.244992,39.912438,22
548,,,,,,,,,,,2.0,,-75.164903,38.782931,9
549,,,,,,,,,,,3.2,,-76.455555,39.959167,4
550,,,,,,,,,,9.0,,,-87.6514,41.6758,17
551,,,,,,,,,,10.0,,,-83.317072,40.8795,22
552,,,,,,,,,,2.0,,,-74.822935,40.860629,11
553,,,,,,,,,,2.8,,,-75.238452,40.760545,2
554,,,,,,,,,,,40.0,,-79.467222,39.254444,15
555,,,,,,,,,,,10.0,,-79.434444,39.287222,15
556,,2.4,,,,,,,,,,,-82.602,41.3362,20
557,,4.8,,,,,,,,,,,-85.975161,41.622942,22
558,,,,,,,,,,10.0,,,-75.852206,40.860142,4
559,,,,,,,,,,,38.0,,-78.476921,40.522846,3
560,,,,,,,,,,0.9,,,-75.6578,39.9647,5
561,,,,,,,,,,,192.3,,-88.997222,40.888611,17
562,,,,,,,,,,,48.2,,-78.28735,40.729207,3
563,,,,,,,,,,,70.0,,-79.29,39.4047,15
564,20.0,,,,,,,,,,217.5,,-88.8867,41.7678,17
565,,,,,,,,,,1.1,,,-75.4375,38.993056,9
566,,,,,,,,,,10.0,,,-75.504444,39.183611,9
567,,,,,,,,,,1.7,,,-74.399511,40.494804,7
568,,,,,,,309.0,,,,,,-75.499396,39.187195,9
569,,,,,,,,,,1.0,,,-74.7539,40.2314,7
570,,3.6,,,,,,,,,,,-77.5678,37.6788,13
571,,,,,,,,,,1.6,,,-75.865916,40.152069,4
572,,,,,,,,,,1.3,,,-77.6058,36.4972,13
573,,,,,,,,,,1.3,,,-77.6058,36.4972,14
574,,,,,,,,,,2.5,,,-75.514924,41.061022,4
575,,,,,,,,,,2.7,,,-74.2144,40.62,7
576,,,,,,,,,,3.6,,,-74.656719,40.168811,7
577,,,,,,,,,,1.5,,,-74.0919,40.6772,7
578,,,,,,,,,,2.5,,,-74.269998,40.534393,7
579,,,,,,,,,,1.6,,,-76.735474,40.043856,2
580,,,,,,,,,,3.6,,,-74.58685,40.369772,7
581,,,,,44.0,,,,,,,,-81.31795,39.35776,15
582,,4.0,,,,,,,,,,,-80.91,41.795,20
583,,4.0,,,,,,,,,,,-80.586111,40.914444,20
584,,,,,,,,,,2.8,,,-77.2344,40.0264,2
585,,,,,,,,,,5.0,,,-77.064,36.425,13
586,16.0,,,,,,,,,,97.6,,-79.8866,39.0072,15
587,,,,,,,,,,17.7,,,-75.309477,39.613028,12
588,,,,,,,,,,,302.0,,-84.561824,40.931515,22
589,,,,,,,,,,3.8,,,-74.391268,40.535787,7
590,,,,,,,,,,8.0,,,-84.095841,41.388431,20
591,,,,,,,,,,1.8,,,-76.038888,40.936111,4
592,,6.4,,,,,,,,,,,-77.561111,39.961944,15
593,,,,,,,,,,1.0,,,-74.404444,40.684444,11
594,,,,,,,,,,7.9,,,-74.856666,40.483888,11
595,,,,,,,,,,3.0,,,-75.012222,40.521667,11
596,,,,,,,,,,3.0,,,-74.976944,40.514444,11
597,,,,,,,,,,2.0,,,-74.912222,40.675833,11
598,,,,,,,,,,1.0,,,-76.605417,40.640556,4
599,,,,,,,,,,,4.5,,-84.570277,40.905833,22
600,,,,,,,,,,1.3,,,-74.793638,40.281801,7
601,,3.2,,,,,,,,,,,-76.917777,41.151111,4
602,,3.0,,,,,,,,,,,-76.917777,41.151111,4
603,,,,,,,,,,2.6,,,-74.4797,40.3622,7
604,,,,,,,,,,,52.9,,-79.03,39.445,15
605,,,,,,,,,,,2.5,,-81.525555,41.584444,20
606,,,,,,,,,,,99.0,,-84.779166,41.025278,22
607,,,,,,,,,,1.0,,,-75.191667,40.139167,5
608,,,,,,,,,,1.4,,,-76.2292,39.4836,1
609,,,,,,,,,,4.1,,,-74.718611,40.818888,11
610,,,,,,,,,,4.0,,,-74.973889,39.4175,12
611,,,,,,,,,,3.5,,,-74.349722,40.256667,11
612,,,,,,,,,,12.0,,,-74.556389,40.279722,11
613,,,,,,,,,,6.8,,,-75.215,39.485,12
614,,,,,,,,,,1.3,,,-77.2061,40.2142,4
615,,,,,,,,,,,,20.0,-76.04739,40.949536,4
616,,,,,,,,,,4.0,,,-75.219722,39.825278,7
617,,,,,,,,,,2.5,,,-74.11,40.750833,7
618,,,,,,,,,,1.9,,,-74.3536,40.5003,7
619,,,,,,,,,,2.5,,,-74.4797,40.3622,7
620,,,,,,,,,,3.5,,,-74.824722,40.031388,7
621,,,,,,,,,,1.4,,,-74.714722,40.825556,11
622,,,,,,,,,,1.1,,,-75.008611,39.876111,7
623,,,,,,,,,,,69.0,,-77.0296,41.5323,3
624,,,,,,,,,,2.3,,,-74.997703,39.505034,12
625,,,,,,,,,,2.0,,,-76.864444,38.907778,6
626,,,,,,,,,,2.4,,,-74.980833,39.4875,12
627,,2.0,,,,,,,,,,,-78.0975,39.140833,13
628,,,,,,,,,,13.7,,,-77.345,39.675,15
629,,,,,,,,,,1.3,,,-75.667777,39.866667,5
630,,,,,,,,,,1.3,,,-75.602031,38.757689,9
631,,,,,,,,,,2.0,,,-74.323519,40.506358,7
632,,,,,,,9.0,,,,,,-77.028373,38.885709,6
633,,,,,,,715.0,,,,,,-86.479699,41.698992,22
634,,,,,,,,,,1.4,,,-74.278611,40.2675,11
635,,,,,,,,,,1.4,,,-74.195502,40.952084,7
636,,,,,,,,,,4.1,,,-74.847222,40.292778,7
637,,,,,,,,,,,,38.0,-84.401389,39.472222,19
638,,,,,,,727.0,,,,,,-74.318889,40.515,7
639,,,,,,,,,,1.0,,,-75.015775,40.831012,11
640,,,,,,,,,,,200.0,,-85.843056,40.349444,22
641,,,,,,,,,,2.4,,,-74.639167,39.421944,12
642,,,,,,,,,,1.3,,,-74.535263,39.488443,12
643,,,,,,,,,,1.8,,,-74.468014,40.554341,7
644,,,,,,,,,,4.6,,,-74.489236,40.373898,7
645,,,,,,,,,,1.0,,,-75.535278,38.373611,9
646,,,,,,,1.0,,,,,,-79.845278,36.717222,22
647,,6.4,,,,,,,,,,,-77.373889,37.505833,13
648,,,,,,,46.5,,1.9,,,,-84.509419,39.134533,19
649,,,,,,,,,,20.0,,,-88.758341,41.143421,17
650,,,,,,,,,5.7,,,,-84.504948,39.137935,19
651,,,,,,,,,,10.0,,,-75.188312,39.380565,12
652,,,,,,,,,,1.0,,,-74.243333,40.245,11
653,,,,,,,,,,,109.5,,-89.059722,41.666944,17
654,,,,,,,,,,,75.0,,-78.680633,40.319561,3
655,,,,,,,,,,,139.4,,-78.874722,39.760556,15
656,,,,,,,,,,,30.0,,-78.696078,40.63067,3
657,,,,,,,,,,2.0,,,-76.055278,39.560833,9
658,,,,,,,,,,2.0,,,-76.926,39.021,6
659,,,,,,,,,,1.8,,,-74.853611,40.013889,7
660,,,,,,,,,,3.9,,,-74.818056,39.928889,7
661,,,,,,,,,,5.5,,,-74.814444,39.928333,7
662,,,,,,,,,,7.5,,,-75.125833,39.903056,7
663,,,,,,,,,,2.8,,,-74.501667,40.320556,7
664,,,,,,,,,1.1,,,,-79.731111,40.442222,10
665,,,,,,,,,,1.3,,,-74.40836,40.55569,7
666,,,,,,,,,5.0,,,,-77.164444,40.126389,2
667,,1.4,,,,,,,,,,,-78.676667,38.356944,13
668,,,,,,,,,,1.1,,,-74.681944,40.290556,7
669,,,,,,,705.0,,,,,,-74.125833,40.707222,7
670,,,,,,,,,,3.5,,,-84.110833,41.406667,20
671,,,,,,,,,,4.7,,,-74.492222,40.426389,7
672,,,,,,,,,,5.0,,,-76.221111,39.861111,4
673,,,,,,,,,,1.0,,,-74.305,40.697222,7
674,,,,,,,,,,2.1,,,-74.812778,40.104167,7
675,,,,,,,,,,1.5,,,-74.247778,40.903889,7
676,,,,,,,,,,1.8,,,-74.2425,40.568333,7
677,,,,,,,2.6,,,,,,-75.716111,39.668889,9
678,,,,,,,,,,2.0,,,-74.328333,40.51,7
679,,,,,,,,,,2.0,,,-82.227047,41.302761,20
680,,,,,,,,,,12.4,,,-76.8484,35.5052,13
681,,,,,,,5.8,,,,,,-89.803611,42.362222,17
682,,,,,,,11.8,,,,,,-81.340833,41.143056,20
683,,,,,,,4.2,,,,,,-74.773333,40.269444,7
684,,3.0,,,,,,,,,,,-89.093333,42.221944,17
685,,,,,,,7.8,,,,,,-87.835556,41.855833,17
686,,,,,,,,,,1.9,,,-74.34,40.516111,7
687,,,,,,,9.3,,,,,,-77.864722,40.792778,15
688,,,,,,,7.4,,,,,,-77.8475,40.809167,15
689,,,,,,,47.3,,6.9,,,,-76.9825,39.039444,6
690,,6.0,,,,,,,,,,,-74.393889,40.465278,7
691,,,,,,,,,,,4.5,,-84.5875,41.016111,22
692,,,,,,,,,,11.8,,,-75.453333,38.923056,9
693,,,,,,,,,,2.9,,,-75.1675,39.900833,5
694,,,,,,,,,,1.0,,,-75.982222,39.297222,9
695,,,,,,,,,,1.0,,,-76.231644,39.144369,9
696,,,,,,,,,,1.0,,,-76.090833,39.280833,9
697,,,,,,,3.2,,,,,,-87.719167,41.981111,17
698,,3.0,,,,,,,,,,,-76.676389,39.084722,1
699,,1.6,,,,,,,,,,,-74.780556,40.151389,5
700,,1.0,,,,,,,,,,,-76.901944,39.305,1
701,,,,,,,1376.0,,,,,,-77.713889,36.765,13
702,,,,,,,1376.0,,,,,,-77.713889,36.765,14
703,,8.4,,,,,,,,,,,-83.484722,41.688333,20
704,,,,,,,10.0,,2.0,,,,-83.484722,41.688333,20
705,,,,,,,,,,1.0,,,-78.9675,36.3125,14
706,,,,,,,,,,4.0,,,-78.171111,36.415,14
707,,5.6,,,,,,,,,,,-75.083333,39.988611,5
708,,,,,,,12.3,,,,,,-87.851944,42.306389,17
709,,,,,,,,,,2.8,,,-75.611111,38.098056,9
710,,,,,,,,,,5.0,,,-77.056725,35.209564,13
711,,,,,,,,,,5.0,,,-78.917364,36.4797,14
712,,,,,,,,,,5.0,,,-78.132311,36.421617,14
713,,,,,,,,,,5.2,,,-74.722117,40.301409,7
714,,,,,,,,,,4.2,,,-74.221389,40.566389,7
715,,,,,,,,,,4.1,,,-74.494722,40.924167,11
716,,,,,,,,,,2.0,,,-75.029038,39.519935,12
717,,,,,,,,,,3.0,,,-74.455278,40.387778,7
718,,,,,,,,,,3.0,,,-74.491944,41.200278,11
719,,,,,,,3.6,,,,,,-87.845556,41.916944,17
720,,4.8,,,,,,,,,,,-88.998611,41.924722,17
721,,,,,,,,,,1.8,,,-84.586111,41.476389,20
722,,,,,,,,,,1.8,,,-83.816944,39.741944,18
723,,,,,,,,,,1.5,,,-74.669697,40.401528,7
724,,,,,,,,,,20.9,,,-77.720278,39.563056,15
725,,,,,,,,,,,200.0,,-85.013333,40.066667,22
726,,,,,,,765.0,,,,,,-76.39,41.7675,3
727,,,,,,,765.0,,,,,,-76.839167,41.180833,4
728,,,,,,,24.9,,,,,,-75.62974,39.610083,9
729,,1.0,,,,,,,,,,,-81.589167,41.555556,20
730,,,,,,,,,,1.0,,,-76.05934,40.10596,4
731,,,,,,,,,,5.5,,,-76.799444,38.545556,13
732,,,,,,,,,,3.9,,,-75.400542,38.663992,9
733,,9.2,,,,,,,,,,,-76.17603,40.086463,4
734,,,,,,,,,,5.0,,,-76.710556,35.875,13
735,,,,,,,,,,16.0,,,-74.084167,40.263889,11
736,,,,,,,,,,2.5,,,-78.593889,36.411667,14
737,,3.2,,,,,,,,,,,-76.145556,40.090556,4
738,,,,,,,,,,1.2,,,-74.43,40.523611,7
739,,,,,,,,,,6.4,,,-74.438333,40.5275,7
740,,,,,,,,,,2.8,,,-74.735,40.000556,7
741,,,,,,,,,,1.4,,,-75.488056,40.120556,5
742,,,,,,,,,,3.0,,,-74.187778,40.352222,11
743,,,,,,,,,,2.5,,,-78.986111,36.288056,14
744,,4.0,,,,,,,,,,,-86.28,42.175833,22
745,,45.4,,,,,,,,,,,-78.873333,36.701389,22
746,,,,,,,,,,7.9,,,-75.018056,40.4825,11
747,,2.5,,,,,,,,,,,-77.125278,39.950278,2
748,,,,,,,,,,5.0,,,-75.2225,39.835833,7
749,,,,,,,15.5,,,16.6,,,-74.657222,40.341389,7
750,,,,,,,,,,,3.4,,-83.893333,40.449444,18
751,,,,,,,,,,2.0,,,-76.016389,39.031667,9
752,,,,,,,1.7,,,,,,-87.582778,41.790556,17
753,,,,,,,,,,2.6,,,-89.088333,42.175278,17
754,,,,,,,,,,1.7,,,-74.173333,40.660833,7
755,,,,,,,,,,2.3,,,-74.173333,40.660833,7
756,,,,,,,,,,4.0,,,-84.590556,40.540556,18
757,,,,,,,,,,5.0,,,-76.803611,36.450833,13
758,,,,,,,,,,5.0,,,-77.09,35.515,13
759,,,,,6.7,,,,,,,,-79.281667,40.921111,15
760,,,,,,,,,,,212.0,,-89.580278,41.496667,17
761,,,,,,,21.0,,,,,,-75.870556,41.608611,3
762,,,,,,,21.0,,,,,,-76.049167,41.657778,3
763,,,,,,,,,,,249.8,,-83.736389,40.561389,22
764,,,,,,,,,,11.4,,,-74.636933,39.992818,11
765,,,,,,,,,,1.3,,,-74.690556,39.4375,12
766,,,,,,,,,,5.0,,,-76.87,35.501111,13
767,,,,,,,21.0,,,,,,-76.843056,41.611389,3
768,,,,,,,20.4,,,,,,-76.805556,41.663056,3
769,,,,,,,20.4,,,,,,-76.582778,41.894444,3
770,,,,,,,,,,1.3,,,-75.033056,39.376389,12
771,,,,,,,1.2,,,,,,-87.852222,42.001944,17
772,,,,,,,,,,3.2,,,-77.381111,35.794722,13
773,,,,,,,,,,5.0,,,-77.053611,35.565278,13
774,,,,,,,,,,5.0,,,-76.833611,35.499444,13
775,,,,,,,,,,5.0,,,-76.917778,35.981944,13
776,,,,,,,,,,2.0,,,-77.783333,36.0939,13
777,,,,,,,,,,5.0,,,-78.956739,36.458658,14
778,,,,,,,,,,4.9,,,-78.348333,36.27,14
779,,,,,,,,,,8.6,,,-75.106389,39.793333,7
780,,,,,,,,,,2.9,,,-74.581389,40.856667,11
781,,,,,,,,,,7.5,,,-74.645278,40.255833,7
782,,,,,,,,,,,5.0,,-89.249722,41.660278,17
783,,,,,,,,,,1.0,,,-74.551389,40.560556,7
784,,,,,,,16.0,,,,,,-75.150556,39.98,5
785,,,,,,,,,,,175.0,,-88.056247,40.999169,17
786,,,,,,,,,,,40.0,,-79.011111,39.641111,15
787,,,,,,,,,,1.0,,,-74.475833,40.815278,11
788,,2.4,,,,,,,,,,,-84.1025,41.355556,20
789,,,,,,,256.7,,,,,,-80.336389,40.671667,10
790,,,,,,,,,,20.0,,,-77.711389,36.441944,13
791,,,,,,,9.4,,0.9,,,,-74.707778,40.324722,7
792,,,,,,,,,,8.5,,,-74.543889,39.416111,12
793,,,,,,,,,,4.8,,,-78.377222,36.276111,14
794,,1.8,,,,,,,,,,,-81.568889,41.153333,20
795,,,,,,,,,,7.8,,,-74.710833,40.1275,7
796,,,,,,,766.0,,,,,,-77.545,39.058056,13
797,,12.0,,,,,,,,,,,-77.018333,38.820556,6
798,,,,,,,,,,,1.0,,-81.496944,41.602222,20
799,,1.8,,,,,,,,0.8,,,-76.494167,39.299722,1
800,,,,,,,3.0,,,2.4,,,-74.648056,40.574444,7
801,,,,,,,3.8,,,,,,-75.234167,40.183889,5
802,,,,,,,,,,2.7,,,-74.648056,40.574444,7
803,,,,,,,,,,2.0,,,-74.654167,40.574444,7
804,,,,,,,,,,9.8,,,-75.151944,40.698333,11
805,,1.0,,,,,,,,,,,-74.780833,39.231111,12
806,,,,,,,,,,3.0,,,-78.386111,36.286389,14
807,,,,,,,,,,,30.0,,-79.291143,39.404564,15
808,,,,,,,,,,5.0,,,-77.269722,35.831667,13
809,,,,,,,,,,5.0,,,-76.997222,36.306389,13
810,,,,,,,,,,20.0,,,-77.721389,36.129722,13
811,,,,,,,,,,5.0,,,-77.076389,36.260556,13
812,,,,,,,,,,20.0,,,-76.087222,36.433333,13
813,,,,,,,,,,1.2,,,-75.350833,39.7875,12
814,,,,,,,,,,5.0,,,-77.081111,35.875278,13
815,,,,,,,,,,5.0,,,-76.883056,36.016944,13
816,,,,,,,,,,5.0,,,-77.384542,35.794328,13
817,,,,,,,,,,5.0,,,-77.211111,36.141111,13
818,,,,,,,,,,5.0,,,-77.221111,36.341944,13
819,,,,,,,,,,5.0,,,-77.221111,36.341944,14
820,,,,,,,,,,5.0,,,-77.063056,35.801111,13
821,,,,,,,,,,5.0,,,-76.938889,36.375,13
822,,,,,,,,,,5.0,,,-74.582429,40.063743,11
823,,,,,,,,,,7.0,,,-74.730278,40.006667,7
824,,,,,,,991.3,,,,,,-76.161625,39.719364,9
825,,,,,,,,,,1.5,,,-75.1275,39.923056,7
826,,,,,,,,,,1.3,,,-74.806667,39.922222,7
827,,,,,,,,,,1.0,,,-74.813611,39.926667,7
828,0.8,,,,,,,,,4.0,100.0,,-84.593611,41.016944,22
829,,,,,,,,,,1.5,,,-74.685,40.47,7
830,,,,,,,,,,5.0,,,-74.584842,40.069601,11
831,,,,,,,,,,8.0,,,-74.225818,40.229725,11
832,,,,,,,,,,0.9,,,-81.597222,41.516389,20
833,,,,,,,463.6,,,,,,-84.347778,39.465,19
834,,,,,,,,,,1.0,,,-75.829444,39.882778,5
835,,,,,,,,,,1.3,,,-74.439444,40.605,7
836,,,,,,,,,,2.6,,,-74.579722,40.205833,7
837,,,,,,,,,,8.5,,,-74.591667,41.189167,11
838,,,,,,,,,,0.8,,,-74.4625,40.33,11
839,,,,,,,,,,1.4,,,-74.583611,40.196389,7
840,,,,,,,,,,1.5,,,-74.576111,40.200278,7
841,,,,,,,4.7,,,,,,-82.568611,40.776111,20
842,,1.2,,,,,,,,,,,-83.988889,37.741111,21
843,,,,,,,,,,5.0,,,-76.501944,36.248333,13
844,,,,,,,,,,5.0,,,-76.461944,36.223056,13
845,,,,,,,,,,5.0,,,-76.916944,36.361944,13
846,,,,,,,,,,5.0,,,-74.499167,40.314722,7
847,,,,,,,,,,1.7,,,-83.574722,41.627222,20
848,,,,,,,,,,5.0,,,-77.1099,35.1608,13
849,,,,,,,,,,5.0,,,-78.3475,36.2487,14
850,,,,,,,,,,5.0,,,-77.0743,35.2167,13
851,,,,,,,,,,5.0,,,-77.9703,36.432,14
852,,,,,,,,,,3.0,,,-78.1526,36.4338,14
853,,,,,,,,,,20.0,,,-77.126944,35.836944,13
854,,,,,,,,,,5.0,,,-77.270556,35.806667,13
855,,,,,,,,,,5.0,,,-77.100278,36.42,13
856,,,,,,,,,,16.0,,,-77.655833,36.418333,13
857,,,,,,,,,,5.0,,,-77.060278,36.270278,13
858,,,,,,,,,,20.0,,,-75.880833,36.233611,13
859,,,,,,,,,,12.0,,,-77.734444,36.127222,13
860,,,,,,,,,,20.0,,,-77.211944,36.148056,13
861,,,,,,,,,,20.0,,,-76.306111,36.264722,13
862,,,,,,,,,,1.2,,,-74.328889,40.456667,11
863,,,,,,,,,,1.5,,,-83.805556,39.893889,20
864,,,,,,,,,,1.3,,,-80.323889,40.691389,10
865,,,,,,,,,,14.0,,,-76.379444,35.898889,13
866,,,,,,,,,,5.0,,,-77.111389,35.847222,13
867,,4.6,,,,,,,,,,,-86.323889,41.808611,22
868,,,,,,,,,,5.0,,,-77.566389,36.435556,13
869,,,,,,,,,,5.0,,,-77.566389,36.435556,14
870,,,,,,,,,,5.0,,,-78.415278,36.371111,14
871,,,,,,,,,,10.0,,,-74.770278,39.980278,7
872,,,,,,,,,,5.0,,,-78.459722,36.414722,14
873,,,,,,,,,,5.0,,,-78.343056,36.325,14
874,,,,,,,,,6.0,,,,-79.591389,38.421389,15
875,,,,,,,,,,3.0,,,-75.170955,40.755289,11
876,,,,,,,,,,5.0,,,-74.590556,40.065278,11
877,,,,,,,,,,5.2,,,-74.321389,40.236111,11
878,,,,,,,,,,8.0,,,-74.709444,40.555,11
879,,,,,,,,,,5.0,,,-77.592,36.468,13
880,,,,,,,,,,5.0,,,-77.592,36.468,14
881,,,,,,,,,,5.0,,,-77.656111,36.514722,13
882,,,,,,,,,,5.0,,,-77.656111,36.514722,14
883,,,,,,,,,,5.0,,,-77.467778,36.476944,13
884,,,,,,,,,,5.0,,,-77.467778,36.476944,14
885,,,,,,,,,,5.0,,,-77.499167,35.858056,13
886,,,,,,,,,,5.0,,,-78.626111,36.366944,14
887,,,,,,,,,,1.7,,,-80.883753,41.148019,20
888,,,,,,,,,,20.0,,,-77.776389,38.548333,13
889,,,,,,,,,,4.9,,,-78.598507,36.372546,14
890,,,,,,,,,,1.2,,,-75.511747,39.736708,9
891,,,,,,,,,,1.2,,,-76.957413,39.296749,1
892,,,,,,,,,,2.1,,,-75.6764,38.20257,9
893,,,,,,,,,,1.2,,,-74.09442,40.825316,7
894,,3.2,,,,,,,,,,,-79.041035,40.00665,3
895,,,,,,,,,,4.9,,,-78.141105,36.404382,14
896,,,,,,,847.6,,1.5,,,,-83.443664,41.667928,20
897,,,,,,,714.6,,,,,,-81.05918,40.60441,22
898,,4.2,,,,,,,,,,,-75.543056,39.693333,9
899,,,,,,,3.5,,,,,,-87.678378,41.870751,17
900,,,,,,,,,,5.0,,,-76.993138,36.306369,13
901,,,,,,,,,,4.7,,,-77.218502,36.154227,13
902,,,,,,,,,,,0.1,,-74.117778,40.652778,7
903,,,,,,,,,,10.3,,,-76.87486,38.591545,13
904,,,,,,,,,,1.0,,,-76.4405,39.3716,1
905,,,,,,,,,,3.2,,,-76.0192,38.5158,9
906,,,,,,,,,,2.4,,,-74.59268,40.350341,7
907,,5.4,,,,,,,,,,,-80.699,37.183,22
908,,,,,,,3.6,,,,,,-87.993492,42.067753,17
909,,,,,,,,,,75.0,,,-75.6975,38.168889,9
910,,,,,,,,,,4.6,,,-86.23,42.19,22
