,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Longitude,Latitude,zone_ID
100,,,752.0,,,,752.0,,,,,,-76.6672,41.0714,4
101,,,,,,,,,41.0,,,,-76.825,40.8361,4
102,,,,,44.0,,,,,,,,-75.130895,41.467858,4
103,,,,,,,,,39.0,,,,-75.3837,39.8301,5
104,,,,,,,,,56.0,,,,-75.125203,39.968021,5
105,,,,,,,760.0,,60.0,,,,-75.323,39.858,5
106,,,,,,,,,51.0,,,,-74.789976,40.176486,5
107,,,,,,,,,51.0,,,,-75.6193,40.2352,5
108,,,,,,1058.0,,,,,,,-76.2993,39.8076,4
109,,,,,,,,2549.4,,,,,-76.268742,39.758936,5
110,,,,,,,,,98.0,,,,-75.075247,39.984469,5
111,,,,,,,,,30.0,,,,-75.1883,39.9419,5
112,,,,,,,,,52.0,,,,-75.135,39.9144,5
113,,,,,417.5,,,,,,,,-76.39,39.9244,4
114,,,,,9.0,,,,,,,,-80.938714,36.808229,22
115,,,,,31.6,,,,,,,,-80.9333,36.7858,22
116,,,,,58.8,,,,,,,,-80.5847,37.075,22
117,,,,,,,460.0,,,,,,-82.1997,36.9333,22
118,,,,,50.0,,,,,,,,-79.4025,37.0933,22
119,,,,,1.8,,,,,,,,-79.8756,37.2544,22
120,,,,,12.5,,,,,,,,-79.1856,37.4639,22
121,,,,,348.0,238.0,,,,,,,-79.5356,37.0413,22
122,,,,,1.1,,,,,,,,-78.498888,38.676667,15
123,,,,,1.3,,,,,,,,-78.593611,38.571389,15
124,,,,,,,381.5,,,,,,-77.3833,37.3822,13
125,,,,,2.0,,,,,,,,-79.380823,37.592887,13
126,,,,,,,,,48.0,,,,-79.892,37.777,13
127,,,,,,,,,47.0,,,,-76.711,37.95,13
128,,,,,,,,,38.9,,,,-76.3019,36.7711,13
129,,,,,,,573.0,,71.5,,,,-77.2806,38.5367,13
130,,,,,,,,1676.0,,,,,-76.6986,37.1661,13
131,,,,,5.0,,,,,,,,-79.3715,37.5736,22
132,,,,,11.1,,,,,,,,-80.447897,36.666866,22
133,,,,,1.2,,,,,,,,-79.883588,36.664145,22
134,,,,,1.0,,,,,,,,-80.572726,37.078366,22
135,,,,,296.6,,,,,,,,-78.3005,36.59943,14
136,,,,,15.6,,,,,,,,-80.0281,36.7803,22
137,,,2900.0,,,,,,,,,,-81.8233,38.4731,22
138,,,1098.0,,,,,,,,,,-79.9275,39.710833,15
139,,,1954.0,,,,,,,,,,-80.3325,39.384167,15
140,,,1560.0,,,,,,,,,,-80.8153,39.8297,22
141,,,1613.4,,,,,,11.0,,,,-79.2636,39.2008,15
142,,,,,,,,,37.0,,,,-76.07,38.795,9
143,,,,,70.2,,,,,,,,-82.8594,38.6472,22
144,,,,,,,186.9,,,,,,-74.9654,39.3757,12
145,,,,,,,,2177.0,,,,,-86.565206,41.975604,22
146,,,1278.0,,,,,,,,,,-81.294444,39.366667,15
147,,,,,20.0,,,,,,,,-81.9081,38.9153,22
148,,,600.0,,,,,,,,,,-84.8514,38.9036,21
149,,,,,,,,1240.0,,,,,-81.1439,41.8006,20
150,,,,,,,,2337.0,,,,,-88.2286,41.2435,17
151,,,,,,,,2300.0,,,,,-89.2819,42.0742,17
152,,,,,,,,2264.4,,,,,-88.669066,41.245498,17
153,,,,,,,,1808.0,,,,,-80.4336,40.6219,10
154,,,1346.0,,,,,,,,,,-83.8181,38.7,21
155,,,1225.0,,,,954.0,,,,,,-85.4117,38.5847,21
156,,,,,,,,2494.0,,,,,-76.1462,41.0919,4
157,,,,,,,,2241.8,,,,,-75.58744,40.224303,5
158,,,,,,,,1172.0,,,,,-75.5377,39.4666,12
159,,,,,,,,894.0,,,,,-83.0861,41.5967,20
160,,,,,,3015.1,,,,,,,-79.8,38.20889,15
161,,,,,1.0,,,1892.0,,,,,-77.7897,38.06,13
162,,,,,61.0,,,,,,,,-84.27,36.9614,21
163,,,704.0,,,,,,,,,,-78.8917,36.5278,14
164,,,1299.0,,,,,,,,,,-81.9344,38.9794,22
165,1.0,,,,,,,,3.0,,,,-75.979722,35.109444,13
166,,,,,,,,,1.4,,,,-76.038881,37.9955,9
