,line_ID,FMAX
0,100001,722.3303
1,100002,722.3303
2,100004,427.47968
3,100005,722.3303
4,100006,722.3303
5,100008,427.47968
6,100009,722.3303
7,100010,427.47968
8,100011,722.3303
9,100013,722.3303
10,100016,427.47968
11,100017,722.3303
12,100019,996.97107
13,100020,722.3303
14,100021,427.47968
15,100022,427.47968
16,100023,722.3303
17,100024,806.57184
18,100025,722.3303
19,100026,722.3303
20,100027,722.3303
21,100028,722.3303
22,100029,996.97107
23,100030,427.47968
24,100031,427.47968
25,100032,722.3303
26,100033,427.47968
27,100034,427.47968
28,100035,722.3303
29,100036,722.3303
30,100038,427.47968
31,100039,806.57184
32,100040,722.3303
33,100042,996.97107
34,100043,722.3303
35,100044,722.3303
36,100045,722.3303
37,100046,722.3303
38,100047,427.47968
39,100049,427.47968
40,100050,722.3303
41,100051,996.97107
42,100054,427.47968
43,100055,427.47968
44,100056,427.47968
45,100057,427.47968
46,100058,427.47968
47,100059,996.97107
48,100060,722.3303
49,100061,722.3303
50,100062,722.3303
51,100064,806.57184
52,100065,722.3303
53,100066,722.3303
54,100068,427.47968
55,100069,806.57184
56,100070,996.97107
57,100071,722.3303
58,100073,722.3303
59,100074,722.3303
60,100075,722.3303
61,100076,996.97107
62,100077,427.47968
63,100078,427.47968
64,100080,722.3303
65,100081,722.3303
66,100082,722.3303
67,100083,427.47968
68,100084,722.3303
69,100085,427.47968
70,100087,722.3303
71,100088,722.3303
72,100089,722.3303
73,100092,722.3303
74,100094,427.47968
75,100095,722.3303
76,100096,722.3303
77,100097,722.3303
78,100098,996.97107
79,100099,996.97107
80,100100,722.3303
81,100101,722.3303
82,100103,722.3303
83,100104,806.57184
84,100105,722.3303
85,100106,722.3303
86,100107,427.47968
87,100108,806.57184
88,100109,722.3303
89,100110,722.3303
90,100111,996.97107
91,100112,722.3303
92,100113,722.3303
93,100114,427.47968
94,100115,722.3303
95,100116,722.3303
96,100117,722.3303
97,100118,427.47968
98,100119,427.47968
99,100120,722.3303
100,100121,722.3303
101,100122,996.97107
102,100123,722.3303
103,100124,722.3303
104,100125,427.47968
105,100126,722.3303
106,100127,722.3303
107,100128,427.47968
108,100129,722.3303
109,100130,722.3303
110,100131,427.47968
111,100132,427.47968
112,100133,427.47968
113,100134,722.3303
114,100135,722.3303
115,100137,427.47968
116,100138,722.3303
117,100139,722.3303
118,100140,722.3303
119,100142,722.3303
120,100143,722.3303
121,100144,722.3303
122,100145,722.3303
123,100146,996.97107
124,100147,806.57184
125,100149,996.97107
126,100150,722.3303
127,100152,427.47968
128,100153,722.3303
129,100154,996.97107
130,100155,722.3303
131,100156,427.47968
132,100157,722.3303
133,100159,722.3303
134,100160,722.3303
135,100161,722.3303
136,100162,996.97107
137,100164,427.47968
138,100165,722.3303
139,100166,427.47968
140,100167,427.47968
141,100168,427.47968
142,100169,722.3303
143,100170,806.57184
144,100171,722.3303
145,100172,722.3303
146,100173,722.3303
147,100175,722.3303
148,100176,722.3303
149,100177,722.3303
150,100178,722.3303
151,100179,722.3303
152,100180,722.3303
