,ID,SHAPE_Length,VOLTAGE,start_zone,end_zone
23489,107854,8287.27073166981,230.0,,13.0
23508,107868,58438.8588819983,345.0,17.0,
23587,107966,19277.0688645811,138.0,,22.0
23649,108045,12245.163775245,69.0,21.0,
23833,108273,30590.509301885,115.0,,14.0
23967,108460,26649.5105517155,138.0,20.0,
24193,108750,601.011886036489,69.0,21.0,
24235,108811,13186.8435798173,138.0,21.0,
24237,108800,1542.31550204359,138.0,,22.0
24476,109154,11470.0525260479,138.0,,22.0
24479,109159,5206.66593385936,69.0,,21.0
24672,109394,221667.719504872,345.0,17.0,
24748,109516,6544.16584235216,138.0,22.0,
24984,109808,8668.14717004881,138.0,,22.0
25034,109853,101574.374234167,345.0,,22.0
25342,110259,47403.787095538,345.0,,22.0
25809,110890,33215.9855915974,345.0,21.0,
25845,110946,6612.09673647748,69.0,21.0,
25887,111009,12561.5447210705,345.0,,17.0
26809,112219,34628.7082073145,138.0,,22.0
26849,112274,33092.8297251304,161.0,17.0,
27073,112552,32373.5922947707,138.0,,22.0
27122,112626,24785.2590883348,115.0,,13.0
27137,112660,23313.8559458613,138.0,20.0,
27168,112698,107761.986388471,345.0,17.0,
27204,112751,78906.1999433364,500.0,22.0,
27538,113195,7443.69816337063,69.0,,21.0
27636,113313,135327.053526683,500.0,11.0,
28437,114442,38070.0519204861,161.0,17.0,
28876,115032,54909.7662330265,138.0,17.0,
29606,116047,79462.7220671384,138.0,,21.0
29737,116230,29291.7461872461,138.0,,22.0
29755,116256,63089.403056957,230.0,13.0,
29919,116491,9300.26193731634,345.0,,17.0
29942,116522,47223.9736087133,69.0,21.0,
30446,117160,66912.4013555245,345.0,,17.0
30486,117218,13109.1296135061,138.0,22.0,
30504,117241,4837.88502362385,69.0,,21.0
30565,117314,10685.3376295068,138.0,17.0,
30645,117412,7948.60060312033,345.0,21.0,
30649,117420,30608.3923685797,115.0,,14.0
30715,117494,32177.9235582229,138.0,21.0,
30856,117650,6491.17745915868,161.0,,17.0
30958,117793,5891.72079923191,138.0,,21.0
31073,117931,22342.4212664377,138.0,,22.0
31088,117961,53424.3790797268,345.0,,22.0
31278,118204,1977.73575318093,230.0,,7.0
31691,118754,22988.8406355868,138.0,,22.0
31807,118825,45619.4406280637,345.0,,22.0
31811,118829,17626.8881449431,138.0,9.0,
32395,167330,10980.7243661998,69.0,17.0,
32411,164012,5016.8656852987,69.0,21.0,
32791,164070,1395.38658799378,69.0,,21.0
32908,164090,1873.57464997373,69.0,,21.0
32910,164073,6193.24717297368,69.0,21.0,
32920,120157,10911.5662813438,138.0,,21.0
33020,120272,4975.09045391664,69.0,4.0,
33061,120323,38422.3632232491,500.0,15.0,
33340,120663,13154.7838818355,138.0,,21.0
33654,121021,17679.0470372582,69.0,,21.0
33767,121164,58117.8943401506,69.0,21.0,
34089,121572,14571.8204485663,69.0,,21.0
34703,122337,4815.5690149266,230.0,,4.0
34737,122373,33334.4687480222,345.0,19.0,
34815,122450,60338.0591570515,161.0,,21.0
34966,122657,6193.56203126844,138.0,,17.0
34987,122679,134055.099370236,345.0,,17.0
35172,122934,29601.9502620198,345.0,,17.0
35241,123021,98105.6977849328,345.0,17.0,
35439,123250,27779.1371520774,230.0,,4.0
35900,123829,8653.6089391323,138.0,21.0,
36137,124120,19156.0973463112,230.0,13.0,
36283,124288,21844.9450798853,69.0,21.0,
36455,124509,66776.8075632811,138.0,,17.0
36458,124512,3806.27977833778,230.0,,4.0
37598,125872,20813.8341380329,138.0,21.0,
37774,126066,4113.53860464555,69.0,,21.0
37990,126323,23276.6267127704,138.0,,21.0
38193,126578,33001.3459781829,345.0,17.0,
38228,126620,24301.7492899058,161.0,,21.0
38653,127195,35047.9728688482,138.0,,22.0
39119,127726,56086.7729084167,138.0,22.0,
39278,127929,37299.7739236718,138.0,21.0,
39422,128094,167569.436078658,765.0,22.0,
39702,128439,4806.26058020203,138.0,21.0,
39742,128482,4691.01822765101,69.0,,21.0
39771,128521,8003.66077961173,69.0,21.0,
39774,128525,10917.4315297756,69.0,21.0,
40321,129151,16734.6385787458,69.0,21.0,
40361,129188,3727.1243300623,69.0,4.0,
40523,129378,32376.4603253043,115.0,,11.0
40534,129395,10255.7766878292,230.0,,3.0
41010,129983,122.456416457458,69.0,,22.0
41338,130370,4271.46705833611,230.0,,4.0
41523,130592,37132.4728996424,230.0,,6.0
41642,130741,21550.4798510803,230.0,,22.0
41849,130973,83294.6798566881,230.0,14.0,
41862,160562,24669.715562294,69.0,,17.0
41914,131050,18811.4901235952,138.0,22.0,
42323,131620,107337.171449223,345.0,21.0,
42424,131764,2681.94440518403,138.0,,22.0
42526,131900,26820.6548960604,138.0,,22.0
42565,131951,24792.3669592654,345.0,,22.0
42630,132022,91310.8027087806,500.0,,14.0
42710,132119,40583.1464948919,161.0,,21.0
42729,132142,99533.5460563826,500.0,,1.0
43782,133383,15153.7579749491,161.0,21.0,
43928,133546,25598.8918608449,345.0,17.0,
44023,133660,6254.36996964609,138.0,,17.0
44618,163132,9289.83298303825,138.0,,22.0
44702,134441,157327.851864458,345.0,17.0,
44709,134460,34598.6744100032,138.0,,22.0
44725,134469,20446.3913999794,138.0,,20.0
44807,163133,23359.6712704178,138.0,,22.0
44809,163139,10913.8825413702,69.0,22.0,
44899,134669,6547.00565322021,69.0,21.0,
45103,163161,21283.2475221763,138.0,22.0,
45434,135283,99555.8601149488,500.0,,1.0
45575,135445,478.013024516038,69.0,22.0,
46016,135936,44541.5295873164,115.0,3.0,
46292,136273,49426.0709068533,138.0,,17.0
46408,136396,72294.8936050313,230.0,3.0,
46409,136397,37070.2405762019,230.0,,6.0
46616,136642,8718.11851045598,345.0,19.0,
46686,136730,10944.4158774116,115.0,3.0,
46721,136776,21353.8150446664,138.0,,22.0
46726,136781,27318.6673197695,500.0,,22.0
46764,136829,3716.54989803508,69.0,4.0,
47055,137190,40600.1280361464,138.0,21.0,
47166,137332,5789.08852638699,230.0,,4.0
48000,138350,73749.6157521917,500.0,11.0,
48045,138405,4962.75993393472,69.0,,21.0
48081,138446,50794.743041404,138.0,,22.0
48116,138486,37082.4733612446,230.0,,6.0
48323,138741,11871.0293228158,138.0,21.0,
48339,138759,11489.5797860556,345.0,,8.0
48418,138856,22242.195717305,345.0,21.0,
48580,139081,118501.75225117,345.0,,21.0
48765,139328,69366.0033029439,345.0,19.0,
49064,139731,23322.6066419062,230.0,13.0,
49231,139950,30524.5239330058,161.0,21.0,
49236,166398,18536.0390022597,69.0,17.0,
49572,140358,53210.0052765828,138.0,,22.0
49748,140590,64219.077418131,138.0,,22.0
49905,140786,1769.76638757228,138.0,21.0,
50131,175101,11099.5639252869,138.0,22.0,
50184,167533,68366.2841656688,345.0,,22.0
50189,168127,20341.8445349542,345.0,22.0,
50366,126553,1043.45507098568,138.0,,21.0
50367,133321,1064.99935544434,138.0,,21.0
50368,144711,1083.09048390395,138.0,,21.0
50371,118538,7378.88466254739,138.0,,22.0
51452,104951,33832.1536973553,230.0,13.0,
51581,141267,29519.9574416083,115.0,,3.0
52335,167836,148069.110871618,345.0,22.0,
52387,167999,43877.8859245911,230.0,,14.0
54673,167596,22450.196248049,138.0,21.0,
54676,167998,96443.6172484435,138.0,21.0,
54683,167129,43078.537918542,69.0,,21.0
55113,171039,25049.4907540884,69.0,,21.0
55156,171109,1433.23751805816,69.0,,21.0
55171,171110,4740.72052376574,69.0,,21.0
55444,171401,10664.4470015807,115.0,13.0,
55937,131943,107613.308532907,500.0,,22.0
56051,173010,19766.8358491079,69.0,,13.0
