,ID,SHAPE_Length,VOLTAGE,start_zone,end_zone
11220,121776,13507.1100451964,115.0,6.0,1.0
11224,126640,67509.0920098884,500.0,13.0,6.0
12299,117326,6315.56752554486,138.0,21.0,19.0
13271,124728,5446.43044670985,115.0,13.0,14.0
13271,124728,5446.43044670985,115.0,14.0,13.0
13272,125794,16455.5003945559,115.0,14.0,13.0
13273,102078,17302.7061026487,115.0,13.0,14.0
13273,102078,17302.7061026487,115.0,14.0,13.0
13283,136002,47.3118632465661,230.0,13.0,14.0
13283,136002,47.3118632465661,230.0,14.0,13.0
13284,137165,133252.02209037,500.0,15.0,13.0
13472,114888,16070.5654135779,115.0,13.0,14.0
13473,113243,38.0209011510219,230.0,13.0,14.0
13473,113243,38.0209011510219,230.0,14.0,13.0
13876,142599,15361.7024714001,115.0,13.0,14.0
13876,142599,15361.7024714001,115.0,14.0,13.0
14350,116927,19632.9741398013,69.0,18.0,20.0
14404,111220,82527.2323290502,138.0,22.0,20.0
14511,134030,114690.607549593,765.0,13.0,22.0
14526,158130,8412.88596137527,230.0,7.0,12.0
14534,144648,8132.17833027831,138.0,22.0,13.0
14538,128942,12163.1188401743,138.0,22.0,13.0
14667,116072,26326.9836739297,230.0,12.0,7.0
14668,103828,17954.7143419965,230.0,2.0,11.0
14669,144543,40457.122630167,230.0,11.0,2.0
15001,123913,69630.1662627126,138.0,22.0,20.0
15813,150663,26786.0804106851,69.0,4.0,5.0
15852,145650,21858.2870454519,69.0,4.0,2.0
15958,100420,18865.9306896364,69.0,22.0,21.0
16017,156643,23566.082956496,69.0,22.0,21.0
16023,124695,4332.74991411444,69.0,21.0,22.0
16024,140641,4323.66142879872,69.0,22.0,21.0
16025,150646,5150.32031611853,69.0,22.0,21.0
16027,156640,4641.62488341511,69.0,21.0,22.0
16073,101709,7130.64048164137,69.0,22.0,21.0
16081,140544,32787.4669122373,138.0,22.0,21.0
16204,156870,5052.42523199039,69.0,19.0,21.0
16275,103927,21602.232639784,138.0,15.0,22.0
16879,163163,248320.92049412,765.0,22.0,18.0
16924,164858,100185.394195012,345.0,22.0,20.0
17337,166594,29645.9153242499,230.0,9.0,1.0
17596,166870,6272.00656235798,69.0,20.0,22.0
17599,166874,10830.9623494954,138.0,20.0,22.0
17630,166586,18172.3697346029,230.0,1.0,9.0
17766,100111,29641.894349737,230.0,12.0,11.0
17817,100170,131776.006315365,765.0,22.0,13.0
17829,100188,75195.0752703335,230.0,3.0,15.0
17888,100254,127919.348035337,345.0,10.0,20.0
17993,100378,15123.9369792003,230.0,5.0,9.0
18116,100556,4310.58068507766,115.0,13.0,14.0
18252,100746,30107.2707379381,138.0,15.0,13.0
18314,100840,7699.88659395322,230.0,6.0,1.0
18337,100858,21658.3113803152,115.0,14.0,13.0
18463,101060,28658.1274275401,138.0,22.0,15.0
18518,101139,20519.7631805895,138.0,15.0,22.0
18537,101165,21748.4408972209,69.0,4.0,2.0
18606,156948,16633.932666592,69.0,22.0,15.0
18619,156949,4910.50709436622,69.0,15.0,22.0
18620,156947,619.989006787069,69.0,15.0,22.0
18620,156947,619.989006787069,69.0,22.0,15.0
18693,101384,37392.887140231,500.0,4.0,5.0
18828,101558,28036.3085020174,138.0,20.0,18.0
18835,101564,13028.6594889713,230.0,7.0,11.0
18840,101591,4958.54781444315,115.0,13.0,14.0
18840,101591,4958.54781444315,115.0,14.0,13.0
18864,101606,62627.2014931694,230.0,3.0,4.0
18961,101785,14579.7423190045,230.0,2.0,4.0
19074,101946,20359.1715328009,230.0,4.0,2.0
19424,102418,16029.5812489895,138.0,16.0,22.0
19424,102418,16029.5812489895,138.0,22.0,16.0
19644,102724,28908.887489967,138.0,22.0,15.0
19713,102813,17729.798019597,138.0,15.0,22.0
19826,102982,26556.4464721877,69.0,22.0,21.0
20047,103281,19580.9040852788,138.0,15.0,13.0
20195,103493,7977.73867594226,69.0,4.0,5.0
20317,103666,48764.4041841981,138.0,21.0,19.0
20461,103850,22002.4392163867,115.0,4.0,9.0
20509,103922,10208.7878438106,138.0,3.0,15.0
20535,103954,497.234256881802,138.0,16.0,22.0
20535,103954,497.234256881802,138.0,22.0,16.0
20559,103988,65434.7620005328,230.0,3.0,15.0
20660,104130,3752.59419698188,115.0,13.0,14.0
20660,104130,3752.59419698188,115.0,14.0,13.0
20885,104433,46042.6676873671,138.0,20.0,22.0
20897,104449,11751.9461944632,115.0,13.0,14.0
21047,104664,27526.5434156918,230.0,6.0,13.0
21379,105137,194386.431073961,765.0,22.0,17.0
21457,105250,9684.00499806834,69.0,2.0,4.0
21572,105388,101427.430509642,345.0,22.0,16.0
21650,105488,6299.48340484771,69.0,5.0,4.0
21738,105611,18129.8866578574,138.0,20.0,22.0
21785,105672,45740.6221349119,138.0,20.0,22.0
