,ID,SHAPE_Length,VOLTAGE,start_zone,end_zone
66093,168290,12011.2601230832,138.0,10.0,15.0
66094,148850,20637.7216058666,138.0,15.0,10.0
66096,134841,30933.8249036394,138.0,10.0,15.0
66147,179702,10350.4072233294,138.0,15.0,22.0
66147,179702,10350.4072233294,138.0,22.0,15.0
66149,180408,21599.2926864692,138.0,15.0,22.0
66170,180337,20773.8809663128,138.0,15.0,10.0
66485,157754,34265.353908531,230.0,2.0,4.0
66525,177510,26997.3062473729,500.0,14.0,13.0
66586,180625,175527.607328976,138.0,22.0,20.0
66598,179956,54593.4612200603,345.0,22.0,18.0
66615,179443,52912.0959686352,138.0,22.0,20.0
66636,179601,42672.2874283011,230.0,2.0,4.0
66642,179115,18715.527997109,230.0,7.0,11.0
66657,180448,26040.4522951461,230.0,11.0,5.0
66705,180689,15411.867155649,345.0,22.0,20.0
66834,179777,6572.93231913184,115.0,13.0,14.0
66834,179777,6572.93231913184,115.0,14.0,13.0
66835,179425,22443.1926133598,115.0,13.0,14.0
66835,179425,22443.1926133598,115.0,14.0,13.0
66883,179766,15822.7489977469,230.0,13.0,14.0
66883,179766,15822.7489977469,230.0,14.0,13.0
66919,179218,532.840183202915,115.0,13.0,14.0
66919,179218,532.840183202915,115.0,14.0,13.0
66922,180562,58396.034431858,500.0,14.0,13.0
66927,179349,496.722641827894,115.0,13.0,14.0
66927,179349,496.722641827894,115.0,14.0,13.0
66959,179800,3857.50745011172,230.0,13.0,14.0
66959,179800,3857.50745011172,230.0,14.0,13.0
66963,179685,13807.0909537149,115.0,14.0,13.0
66979,178448,41049.1092907531,69.0,20.0,22.0
66988,107739,32985.3525516537,115.0,14.0,13.0
67044,179078,86421.4723195072,230.0,14.0,13.0
67078,179110,10937.7764867855,500.0,13.0,14.0
67078,179110,10937.7764867855,500.0,14.0,13.0
67089,180141,431.402974413728,500.0,13.0,14.0
67089,180141,431.402974413728,500.0,14.0,13.0
67159,180223,29358.5202497587,138.0,22.0,13.0
67258,180499,7407.18846753906,138.0,20.0,18.0
67262,180280,3556.38905627537,230.0,14.0,13.0
67339,180596,4345.04684569806,138.0,15.0,22.0
68130,179241,81249.2580185411,345.0,22.0,20.0
68193,180301,60171.5323467555,115.0,13.0,14.0
